clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness_l,kurtosis_l,skewness_w,kurtosis_w,con1,con3,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
1310,580,7,9,51.0322,184.223,-1.13274,2.92679,0.33023,0.544101,0.119978,3.13835,2.85666,0.122903,0.143474,19.7003,2.87885,-1.15614,13.4094,-1.2663,2.81995,-0.00229707,112.325,0.257563,0.265849,0.171716,0.48159,1,0.842199,0.862791,-473.458,-99.0582,0.57152,5.78326,0.556286,-0.472087,370.638,1,1
1311,580,9,14,51.0322,713.778,-0.0196981,-0.686358,0.526531,0.551744,0.101071,0.686641,1.77278,0.101345,0.0243127,28.2321,0.785807,1.74074,-5.40687,0.1809,-0.313328,0.912205,190.01,-0.813422,0.550496,0.298727,0.667518,0,0.842199,0.862791,178.714,-240.181,0.57152,5.78326,0.556286,-0.472087,370.638,1,1
1312,581,1,6,37.2922,92.758,-1.97594,0.427495,0.427446,0.409093,0.109503,2.02165,2.8555,0.118196,0.322304,27.456,6.48086,0.272597,8.01102,-2.3517,0.313328,0.254914,31.1523,-0.359257,0.175653,0.242718,0.608206,0,0.8462,0.862736,-340.018,-317.535,0.67113,5.26284,0.655929,-0.996127,369.065,1,1
1313,581,2,6,37.2922,198.036,0.0818944,3.02434,0.537958,0.453539,0.0653031,3.02545,2.29275,0.0869455,0.293238,28.372,7.34814,-1.97787,26.4205,0.1809,2.81995,0.370894,50.366,3.15017,0.135381,0.296088,0.75306,1,0.8462,0.862736,-324.114,278.194,0.67113,5.26284,0.655929,-0.996127,369.065,1,1
1314,581,5,9,37.2922,1008.48,-0.0453354,1.52644,0.523229,0.337447,0.126962,1.52711,1.11146,0.128254,0.0645305,54.9613,3.32842,-0.657815,12.4098,-0.1809,1.56664,0.418294,20.1135,0.115037,0.38396,0.321818,0.691732,0,0.8462,0.862736,-193.762,31.3979,0.67113,5.26284,0.655929,-0.996127,369.065,1,1
1315,581,6,5,37.2922,88.808,0.290229,-1.66566,0.539805,0.33069,0.108434,1.69076,2.5888,0.110085,0.157383,18.8002,3.48538,6.37416,-29.1511,0.1809,-1.56664,0.37301,13.7202,-0.674163,0.21474,0.297214,0.734146,0,0.8462,0.862736,202.344,-527.432,0.67113,5.26284,0.655929,-0.996127,369.065,1,1
1316,582,0,5,68.277,90.082,2.71105,-1.56239,0.460048,0.473412,1.49243e-06,3.12903,3.06045,0.0625144,0.404136,30.0449,7.58812,-1.73205,25.9808,2.5326,-1.25331,0.0140973,53.4241,0.121509,6.04789e-21,0.232721,0.68693,1,0.844227,0.862763,290.374,575.159,0.616504,6.8281,0.601286,0.570963,375.018,1,1
1317,582,1,8,68.277,173.935,2.89479,-1.19584,0.457562,0.460026,0.11706,3.13207,2.90562,0.125175,0.289574,28.3861,5.71959,-1.2275,19.5484,2.7135,-0.939984,-0.182874,54.6715,0.545402,0.30354,0.243614,0.624118,1,0.844227,0.862763,180.392,486.444,0.616504,6.8281,0.601286,0.570963,375.018,1,1
1318,582,2,15,68.277,473.611,-1.39771,1.59622,0.366926,0.604842,0.140366,2.12167,2.35886,0.140417,0.0151041,30.3109,0.366876,-0.334256,9.36174,-1.2663,1.56664,0.249046,161.812,0.169959,0.70163,0.211441,0.500284,1,0.844227,0.862763,64.0262,-351.089,0.616504,6.8281,0.601286,0.570963,375.018,1,1
1319,582,4,12,68.277,267.833,-1.74223,-0.400424,0.341026,0.657662,0.124311,1.78765,2.87844,0.124313,0.00357924,13.0152,0.0712454,0.486846,3.71288,-1.6281,-0.313328,-0.107859,237.036,0.289027,0.406412,0.22697,0.449269,0,0.844227,0.862763,410.927,-209.453,0.616504,6.8281,0.601286,0.570963,375.018,1,1
1320,582,5,6,68.277,112.71,-2.38626,2.33164,0.426981,0.297087,0.143354,3.33629,3.54875,0.151723,0.677742,30.8958,11.01,-0.238989,14.6049,-2.3517,2.19329,0.127495,9.07242,0.126163,0.411256,0.213823,0.624541,0,0.844227,0.862763,24.0094,-565.342,0.616504,6.8281,0.601286,0.570963,375.018,1,1
1321,582,9,14,68.277,1737.26,2.15509,0.850817,0.466717,0.436622,0.142945,2.31696,1.31092,0.148219,0.124522,27.5166,5.45067,-0.104625,8.92448,1.9899,0.939984,1.01307,85.2163,-0.484928,0.630793,0.296159,0.606452,0,0.844227,0.862763,-85.78,163.124,0.616504,6.8281,0.601286,0.570963,375.018,1,1
1322,583,0,7,101.025,360.952,3.05818,-0.177174,0.508527,0.379095,0.109374,3.06331,2.44349,0.114869,0.236302,27.4207,5.54956,-0.594616,13.6092,2.8944,0,0.25823,25.0847,0.442111,0.189199,0.293471,0.692419,1,0.847008,0.862707,385.408,171.763,0.691261,5.67048,0.676066,-0.589077,425.229,1,1
1323,583,1,16,101.025,255.62,-2.77097,1.75836,0.250133,0.771691,0.158895,3.28178,3.72719,0.15997,0.0913826,19.8983,1.40491,-0.221685,9.48654,-2.3517,1.56664,0.187932,375.976,-0.0125958,0.93649,0.155649,0.334602,1,0.847008,0.862707,-430.816,-328.449,0.691261,5.67048,0.676066,-0.589077,425.229,1,1
1324,583,2,19,101.025,1001.47,-1.22673,2.07452,0.349258,0.641656,0.14298,2.41009,2.40185,0.143414,0.0428056,30.1236,1.02117,-0.560699,11.4983,-1.0854,1.87997,0.563714,272.471,0.247786,0.737906,0.176427,0.484463,0,0.847008,0.862707,-318.485,-111.509,0.691261,5.67048,0.676066,-0.589077,425.229,1,1
1325,583,3,10,101.025,189.39,-2.46818,0.137721,0.299361,0.647157,0.116984,2.47202,3.39353,0.121854,0.18183,12.4579,3.07145,0.163114,4.48023,-3.2562,0,-0.0628129,212.913,0.255361,0.265975,0.15325,0.439448,0,0.847008,0.862707,-181.114,-515.22,0.691261,5.67048,0.676066,-0.589077,425.229,1,1
1326,583,6,11,101.025,233.191,-2.68839,1.41704,0.282905,0.578638,0.140356,3.03899,3.5786,0.141609,0.119858,16.963,1.91937,-0.191313,7.48523,-3.4371,1.56664,-0.457557,148.312,0.107664,0.617562,0.159028,0.401461,1,0.847008,0.862707,-392.881,-379.908,0.691261,5.67048,0.676066,-0.589077,425.229,1,1
1327,584,8,12,56.3032,278.115,-1.95717,1.47401,0.290197,0.778564,0.12812,2.45015,2.86577,0.129691,0.0750891,26.1712,1.50144,-0.191002,9.12259,-1.0854,1.25331,0.0804942,363.66,-0.493307,0.630232,0.152958,0.415846,1,0.842661,0.862788,-295.555,-237.623,0.582353,5.62623,0.567123,-0.629577,392.004,1,1
1328,585,0,7,39.8113,276.599,0.320071,-0.879294,0.470692,0.420204,0.103105,0.935737,1.81958,0.103202,0.0199479,36.1639,0.62814,3.45057,-16.4487,0.3618,-0.626656,0.112462,34.6701,-0.00466986,0.156019,0.26076,0.657732,0,0.845687,0.862718,283.768,267.081,0.659447,7.2746,0.644243,1.01599,355.211,1,1
1329,585,3,14,39.8113,1550.49,1.27397,0.414974,0.700487,0.332267,0.13494,1.33985,0.619594,0.135599,0.0272448,66.8354,2.52022,-1.14201,15.5047,1.0854,0.626656,1.14697,27.0828,0.852904,1.14148,0.443065,0.772097,0,0.845687,0.862718,-5.07444,83.4503,0.659447,7.2746,0.644243,1.01599,355.211,1,1
1330,585,6,7,39.8113,166.672,-1.22006,1.01705,0.471153,0.369618,0.124883,1.58838,2.07151,0.127427,0.150865,31.3656,4.17647,-0.148545,6.93052,-0.9045,0.939984,-0.148375,22.9065,0.842345,0.330721,0.24136,0.656349,1,0.845687,0.862718,311.007,-236.274,0.659447,7.2746,0.644243,1.01599,355.211,1,1
1331,585,9,8,39.8113,164.711,-0.493715,-0.776583,0.439904,0.464795,0.102478,0.920237,2.11691,0.117189,0.265432,0.398599,7.20308,1.59737,0.10004,-0.3618,-0.626656,-0.152464,63.0733,2.15214,0.36805,0.259782,0.615472,0,0.845687,0.862718,425.04,195.031,0.659447,7.2746,0.644243,1.01599,355.211,1,1
1332,586,0,9,175.892,354.162,-0.784805,3.82016,0.420054,0.47032,0.111298,3.89994,3.37745,0.111562,0.0567279,18.2313,0.962389,-1.74324,20.3322,-0.9045,4.07327,-0.253364,52.643,-1.01932,0.62668,0.226862,0.590772,1,0.846328,0.862701,-580.175,-12.7567,0.676053,5.8762,0.660854,-0.382917,469.529,1,1
